uid,movid,sim_length,mov_length,sim_duration,mov_duration,start_ts,end_ts,consumption,legs_consumptions,emergency,scenario,recharges,start_osmid,end_osmid,start_charge,stay_charge,start_loc_type,station_recharge_amounts
126,4,0.0,32563.126840784822,11554.464153599996,2625.0,1217119322,1217121947,47279918,[47279918],0,3,0,3524759497,9758668169,108111506,0,O,[]
126,5,0.0,28154.16829308574,7525.310831999999,2360.0,1217124272,1217126632,7265162,[7265162],0,3,0,9758668169,9896575506,60831588,0,O,[]
126,6,55471.05799999998,10601.080732801689,-1,890.0,1217515128,1217516018,-1,[],1,3,-1,9896575506,1989838164,53566426,0,O,[]
126,7,0.0,10626.294195155493,2109.2038092000007,1201.0,1217666909,1217668110,13035729,[13035729],0,3,0,1989838164,258970059,136800000,0,O,[]
126,8,0.0,85180.58036938222,2357.0127143999994,5164.0,1218363950,1218369114,18879695,[18879695],0,3,0,258970059,3498529382,123764271,13035729,H,[]
126,9,0.0,12910.677689863021,2316.907152,1238.0,1223701410,1223702648,10186323,[10186323],0,3,0,3498529382,5162792190,117920305,0,O,[]
126,10,0.0,5820.455000412153,7298.6115636,693.0,1223777434,1223778127,39868229,[39868229],0,3,0,5162792190,5880828975,107733982,0,O,[]
128,0,0.0,17987.074067612655,3492.9120672,1635.0,1209811450,1209814123,15828424,[15828424],0,3,0,1989838157,1297030652,136800000,0,O,[]
128,1,0.0,18566.182696307715,3638.3572223999995,2498.0,1209878616,1209885480,15724196,[15724196],0,3,0,1297030676,1989838157,120971576,0,O,[]
128,0,0.0,17987.074067612655,3492.9120672,1635.0,1210082892,1210084620,15828424,[15828424],0,3,0,1989838157,1297030652,105247380,31552620,H,[]
128,1,0.0,18566.182696307715,3638.3572223999995,2498.0,1210383489,1210386880,15724196,[15724196],0,3,0,1297030676,1989838157,120971576,0,O,[]
128,3,0.0,84530.6321028991,13964.210351999996,10870.0,1210396987,1210407857,41244882,[41244882],0,3,0,1989838157,9896575506,105247380,31552620,H,[]
128,4,0.0,5421.50981742801,5090.925427200001,1587.0,1210413764,1210415351,42895119,[42895119],0,3,0,9896575506,9837507967,95555118,0,O,[]
128,5,39104.623,46350.079967393955,-1,3930.0,1210415363,1210419293,-1,[],1,3,-1,9837507967,3456955024,52659999,0,O,[]
128,6,0.0,60605.085269175834,-2,5451.0,1210424527,1210429978,-2,[],1,3,0,3456955024,1297030676,136800000,0,W,[]
128,1,0.0,18566.182696307715,3638.3572223999995,2498.0,1210554215,1210557747,15724196,[15724196],0,3,0,1297030676,1989838157,136800000,0,O,[]
128,7,0.0,18436.280336739987,3656.1320567999996,3802.0,1210759485,1210763287,19094126,[19094126],0,3,0,1989838157,1226476996,121075804,15724196,H,[]
128,8,0.0,30151.402555671983,3778.8939072,5198.0,1210812162,1210817360,17362999,[17362999],0,3,0,1226476996,1989838157,117705874,0,O,[]
128,9,0.0,15999.104580107189,3601.5256799999993,2593.0,1210915851,1210918444,17045897,[17045897],0,3,0,1989838157,2344080221,100342875,36457125,H,[]
128,10,0.0,12746.639389967117,5657.843631085714,3294.0,1210933862,1210937156,30112283,[30112283],0,3,0,2344080221,1414025826,119754103,0,O,[]
128,11,0.0,34485.57861885117,5534.928547199999,3474.0,1210944757,1210948231,24607914,[24607914],0,3,0,1414025826,3456955024,89641820,0,O,[]
128,12,0.0,18521.506558270754,-2,1995.0,1210989641,1210991950,-2,[],1,3,0,3456955024,1989838157,65033906,71766094,W,[]
128,13,0.0,35464.33423681634,4113.2027591999995,5849.0,1211014110,1211019959,32652524,[32652524],0,3,0,1989838157,1736475362,136800000,0,H,[]
128,15,0.0,22624.45938533616,3543.9057791999994,2311.0,1211021181,1211023492,15219963,[15219963],0,3,0,1736475362,529964988,104147476,0,O,[]
128,16,0.0,9305.39364709596,2322.9428831999994,1205.0,1211033602,1211034807,9710359,[9710359],0,3,0,529964988,3456955024,88927513,0,O,[]
